District,Ananthapur,Chittoor,East Godavari,Guntur,Kadapa,Krishna,Kurnool,Nellore,Prakasam,Srikakulam,Vishakapatnam,Vizianagaram,West Godavari
29-04-2020,4,0,0,8,0,8,9,2,0,0,0,0,0
28-04-2020,4,0,0,8,0,8,9,2,0,0,0,0,0
27-04-2020,4,0,0,8,0,8,9,2,0,0,0,0,0
26-04-2020,4,0,0,8,0,8,9,2,0,0,0,0,0
23-04-2020,3,0,0,8,0,7,7,2,0,0,0,0,0
22-04-2020,3,0,0,8,0,6,5,2,0,0,0,0,0
21-04-2020,3,0,0,6,0,6,5,2,0,0,0,0,0
20-04-2020,3,0,0,4,0,6,5,2,0,0,0,0,0
19-04-2020,2,0,0,4,0,5,4,2,0,0,0,0,0
18-04-2020,2,0,0,4,0,5,3,2,0,0,0,0,0
17-04-2020,2,0,0,4,0,4,2,2,0,0,0,0,0
16-04-2020,2,0,0,4,0,4,2,2,0,0,0,0,0
15-04-2020,2,0,0,4,0,4,2,2,0,0,0,0,0
14-04-2020,2,0,0,2,0,3,1,1,0,0,0,0,0
