,0,1,2,3,4,5,6,7,8,9,10,11,12,13
District,Ananthapur,Chittoor,East Godavari,Guntur,Kadapa,Krishna,Kurnool,Nellore,Prakasam,Srikakulam,Vishakapatnam,Vizianagaram,West Godavari,Total
2020-04-29,58,77,40,283,69,236,343,82,60,5,23,0,56,1332
2020-04-28,54,74,39,254,65,223,332,82,56,4,22,0,54,1259
2020-04-27,53,73,39,237,58,210,292,79,56,4,22,0,54,1177
2020-04-26,53,73,39,214*,58,177*,279,72,56,3,22,0,51,1097
2020-04-23,42,73,32,195,51,88,234,67,50,0,22,0,39,893
2020-04-22,36,59,26,177,51,86,203,67,48,0,21,0,39,813
2020-04-21,36,53,26,158,46,83,184,67,44,0,21,0,39,757
2020-04-20,33,53,26,149,40,80,174,67,44,0,21,0,35,722
2020-04-19,29,28,24,129*,37,75*,158,67,44,0,21,0,35,647
2020-04-18,26,28,19,125,37,70,132,67,44,0,20,0,35,603
2020-04-17,26,28,17,126,37,52,126,64,42,0,20,0,34,572
2020-04-16,21,23,17,122,36,48,113,58,42,0,20,0,34,534
2020-04-15,21,23,17,122,36,45,110,58,42,0,20,0,31,525
2020-04-14,20,23,17,114,33,44,91,56,42,0,20,0,23,483
